title,url,ranking
Jesus and the woman taken in adultery,https://en.wikipedia.org/wiki/Jesus_and_the_woman_taken_in_adultery,1
Gospel of Mark,https://en.wikipedia.org/wiki/Gospel_of_Mark,2
Lord's Prayer,https://en.wikipedia.org/wiki/Lord%27s_Prayer,3
Gospel of John,https://en.wikipedia.org/wiki/Gospel_of_John,4
Gospel of Luke,https://en.wikipedia.org/wiki/Gospel_of_Luke,5
Nativity of Jesus,https://en.wikipedia.org/wiki/Nativity_of_Jesus,6
Emmaus,https://en.wikipedia.org/wiki/Emmaus,7
Saint Joseph,https://en.wikipedia.org/wiki/Saint_Joseph,8
Gospel of Matthew,https://en.wikipedia.org/wiki/Gospel_of_Matthew,9
Mary - mother of Jesus,https://en.wikipedia.org/wiki/Mary%2C_mother_of_Jesus,10
Chronology of Jesus,https://en.wikipedia.org/wiki/Chronology_of_Jesus,11
James - brother of Jesus,https://en.wikipedia.org/wiki/James%2C_brother_of_Jesus,12
Josephus on Jesus,https://en.wikipedia.org/wiki/Josephus_on_Jesus,13
Turning the other cheek,https://en.wikipedia.org/wiki/Turning_the_other_cheek,14
Exorcism of the Gerasene demoniac,https://en.wikipedia.org/wiki/Exorcism_of_the_Gerasene_demoniac,15
Nicodemus,https://en.wikipedia.org/wiki/Nicodemus,16
Census of Quirinius,https://en.wikipedia.org/wiki/Census_of_Quirinius,17
Rich man and Lazarus,https://en.wikipedia.org/wiki/Rich_man_and_Lazarus,18
Saint Peter,https://en.wikipedia.org/wiki/Saint_Peter,19
Jerusalem,https://en.wikipedia.org/wiki/Jerusalem,20
Nazareth,https://en.wikipedia.org/wiki/Nazareth,21
Rylands Library Papyrus P52,https://en.wikipedia.org/wiki/Rylands_Library_Papyrus_P52,22
Bethany,https://en.wikipedia.org/wiki/Bethany,23
Crucifixion darkness,https://en.wikipedia.org/wiki/Crucifixion_darkness,24
Pontius Pilate,https://en.wikipedia.org/wiki/Pontius_Pilate,25
Cana,https://en.wikipedia.org/wiki/Cana,26
Crucifixion of Jesus,https://en.wikipedia.org/wiki/Crucifixion_of_Jesus,27
Genealogy of Jesus,https://en.wikipedia.org/wiki/Genealogy_of_Jesus,28
Resurrection of Jesus,https://en.wikipedia.org/wiki/Resurrection_of_Jesus,29
Parable of the Good Samaritan,https://en.wikipedia.org/wiki/Parable_of_the_Good_Samaritan,30
Calvary,https://en.wikipedia.org/wiki/Calvary,31
Jesus preaches in a ship,https://en.wikipedia.org/wiki/Jesus_preaches_in_a_ship,32
Date of the birth of Jesus,https://en.wikipedia.org/wiki/Date_of_the_birth_of_Jesus,33
Gospel of Judas,https://en.wikipedia.org/wiki/Gospel_of_Judas,34
Judas Iscariot,https://en.wikipedia.org/wiki/Judas_Iscariot,35
Temptation of Christ,https://en.wikipedia.org/wiki/Temptation_of_Christ,36
Lazarus of Bethany,https://en.wikipedia.org/wiki/Lazarus_of_Bethany,37
Raising of Lazarus,https://en.wikipedia.org/wiki/Raising_of_Lazarus,38
Raising of Jairus' daughter,https://en.wikipedia.org/wiki/Raising_of_Jairus%27_daughter,39
Brothers of Jesus,https://en.wikipedia.org/wiki/Brothers_of_Jesus,40
Bethsaida,https://en.wikipedia.org/wiki/Bethsaida,41
Parable of the Talents,https://en.wikipedia.org/wiki/Parable_of_the_Talents,42
Penitent thief,https://en.wikipedia.org/wiki/Penitent_thief,43
Bread of Life Discourse,https://en.wikipedia.org/wiki/Bread_of_Life_Discourse,44
Sermon on the Mount,https://en.wikipedia.org/wiki/Sermon_on_the_Mount,45
Martha,https://en.wikipedia.org/wiki/Martha,46
Thirty pieces of silver,https://en.wikipedia.org/wiki/Thirty_pieces_of_silver,47
List of gospels,https://en.wikipedia.org/wiki/List_of_gospels,48
John the Baptist,https://en.wikipedia.org/wiki/John_the_Baptist,49
Disciple whom Jesus loved,https://en.wikipedia.org/wiki/Disciple_whom_Jesus_loved,50
Jesus at the home of Martha and Mary,https://en.wikipedia.org/wiki/Jesus_at_the_home_of_Martha_and_Mary,51
Parable of the Prodigal Son,https://en.wikipedia.org/wiki/Parable_of_the_Prodigal_Son,52
Bethlehem,https://en.wikipedia.org/wiki/Bethlehem,53
The Garden Tomb,https://en.wikipedia.org/wiki/The_Garden_Tomb,54
Salome (disciple),https://en.wikipedia.org/wiki/Salome_(disciple),55
Noli me tangere,https://en.wikipedia.org/wiki/Noli_me_tangere,56
Jordan River,https://en.wikipedia.org/wiki/Jordan_River,57
Pilate's court,https://en.wikipedia.org/wiki/Pilate%27s_court,58
Sources for the historicity of Jesus,https://en.wikipedia.org/wiki/Sources_for_the_historicity_of_Jesus,59
Transfiguration of Jesus,https://en.wikipedia.org/wiki/Transfiguration_of_Jesus,60
Healing the deaf mute of Decapolis,https://en.wikipedia.org/wiki/Healing_the_deaf_mute_of_Decapolis,61
Joseph of Arimathea,https://en.wikipedia.org/wiki/Joseph_of_Arimathea,62
Sea of Galilee,https://en.wikipedia.org/wiki/Sea_of_Galilee,63
Andrew the Apostle,https://en.wikipedia.org/wiki/Andrew_the_Apostle,64
Jesus healing an infirm woman,https://en.wikipedia.org/wiki/Jesus_healing_an_infirm_woman,65
Herod the Great,https://en.wikipedia.org/wiki/Herod_the_Great,66
Textual variants in the Gospel of John,https://en.wikipedia.org/wiki/Textual_variants_in_the_Gospel_of_John,67
Mary Magdalene,https://en.wikipedia.org/wiki/Mary_Magdalene,68
Cleansing of the Temple,https://en.wikipedia.org/wiki/Cleansing_of_the_Temple,69
John the Apostle,https://en.wikipedia.org/wiki/John_the_Apostle,70
Beatitudes,https://en.wikipedia.org/wiki/Beatitudes,71
Ascension of Jesus,https://en.wikipedia.org/wiki/Ascension_of_Jesus,72
Gethsemane,https://en.wikipedia.org/wiki/Gethsemane,73
Parable of the Unjust Steward,https://en.wikipedia.org/wiki/Parable_of_the_Unjust_Steward,74
Parable of the Friend at Night,https://en.wikipedia.org/wiki/Parable_of_the_Friend_at_Night,75
Capernaum,https://en.wikipedia.org/wiki/Capernaum,76
Biblical Magi,https://en.wikipedia.org/wiki/Biblical_Magi,77
Anointing of Jesus,https://en.wikipedia.org/wiki/Anointing_of_Jesus,78
Seventy disciples,https://en.wikipedia.org/wiki/Seventy_disciples,79
Jude Thaddeus the Apostle,https://en.wikipedia.org/wiki/Jude_Thaddeus_the_Apostle,80
Parable of the Two Debtors,https://en.wikipedia.org/wiki/Parable_of_the_Two_Debtors,81
Herodians,https://en.wikipedia.org/wiki/Herodians,82
Mary of Clopas,https://en.wikipedia.org/wiki/Mary_of_Clopas,83
Philip the Apostle,https://en.wikipedia.org/wiki/Philip_the_Apostle,84
The four woes of Jesus,https://en.wikipedia.org/wiki/The_four_woes_of_Jesus,85
Galilee,https://en.wikipedia.org/wiki/Galilee,86
Jerusalem during the Second Temple period,https://en.wikipedia.org/wiki/Jerusalem_during_the_Second_Temple_period,87
Jesus predicts his death,https://en.wikipedia.org/wiki/Jesus_predicts_his_death,88
James - son of Alphaeus,https://en.wikipedia.org/wiki/James%2C_son_of_Alphaeus,89
Farewell Discourse,https://en.wikipedia.org/wiki/Farewell_Discourse,90
New Commandment,https://en.wikipedia.org/wiki/New_Commandment,91
Maundy (foot washing),https://en.wikipedia.org/wiki/Maundy_(foot_washing),92
Olivet Discourse,https://en.wikipedia.org/wiki/Olivet_Discourse,93
Clopas,https://en.wikipedia.org/wiki/Clopas,94
Jesus healing the bleeding woman,https://en.wikipedia.org/wiki/Jesus_healing_the_bleeding_woman,95
Lesson of the widow's mite,https://en.wikipedia.org/wiki/Lesson_of_the_widow%27s_mite,96
Parable of the Wedding Feast,https://en.wikipedia.org/wiki/Parable_of_the_Wedding_Feast,97
Crown of thorns,https://en.wikipedia.org/wiki/Crown_of_thorns,98
Caiaphas,https://en.wikipedia.org/wiki/Caiaphas,99
Joanna - wife of Chuza,https://en.wikipedia.org/wiki/Joanna%2C_wife_of_Chuza,100
Parable of the Wicked Husbandmen,https://en.wikipedia.org/wiki/Parable_of_the_Wicked_Husbandmen,101
Mary of Bethany,https://en.wikipedia.org/wiki/Mary_of_Bethany,102
Jude - brother of Jesus,https://en.wikipedia.org/wiki/Jude%2C_brother_of_Jesus,103
Jesus and the rich young man,https://en.wikipedia.org/wiki/Jesus_and_the_rich_young_man,104
Woes to the unrepentant cities,https://en.wikipedia.org/wiki/Woes_to_the_unrepentant_cities,105
Parable of the Unforgiving Servant,https://en.wikipedia.org/wiki/Parable_of_the_Unforgiving_Servant,106
Calming the storm,https://en.wikipedia.org/wiki/Calming_the_storm,107
Life of Jesus,https://en.wikipedia.org/wiki/Life_of_Jesus,108
Jesus's interactions with women,https://en.wikipedia.org/wiki/Jesus%27s_interactions_with_women,109
Parable of the Tares,https://en.wikipedia.org/wiki/Parable_of_the_Tares,110
Matthew the Apostle,https://en.wikipedia.org/wiki/Matthew_the_Apostle,111
Women at the crucifixion,https://en.wikipedia.org/wiki/Women_at_the_crucifixion,112
Healing of the centurion's servant,https://en.wikipedia.org/wiki/Healing_of_the_centurion%27s_servant,113
Parable of the Mustard Seed,https://en.wikipedia.org/wiki/Parable_of_the_Mustard_Seed,114
Jesus wept,https://en.wikipedia.org/wiki/Jesus_wept,115
Healing the mother of Peter's wife,https://en.wikipedia.org/wiki/Healing_the_mother_of_Peter%27s_wife,116
Historical reliability of the Gospels,https://en.wikipedia.org/wiki/Historical_reliability_of_the_Gospels,117
Historicity of the Gospels,https://en.wikipedia.org/wiki/Historicity_of_the_Gospels,118
Miraculous catch of fish,https://en.wikipedia.org/wiki/Miraculous_catch_of_fish,119
Parable of the Unjust Judge,https://en.wikipedia.org/wiki/Parable_of_the_Unjust_Judge,120
Naked fugitive,https://en.wikipedia.org/wiki/Naked_fugitive,121
Triumphal entry into Jerusalem,https://en.wikipedia.org/wiki/Triumphal_entry_into_Jerusalem,122
Sanhedrin trial of Jesus,https://en.wikipedia.org/wiki/Sanhedrin_trial_of_Jesus,123
False prophet,https://en.wikipedia.org/wiki/False_prophet,124
Baptism of Jesus,https://en.wikipedia.org/wiki/Baptism_of_Jesus,125
Gospel harmony,https://en.wikipedia.org/wiki/Gospel_harmony,126
Mount of Olives,https://en.wikipedia.org/wiki/Mount_of_Olives,127
Agony in the Garden,https://en.wikipedia.org/wiki/Agony_in_the_Garden,128
Healing the paralytic at Bethesda,https://en.wikipedia.org/wiki/Healing_the_paralytic_at_Bethesda,129
Joses,https://en.wikipedia.org/wiki/Joses,130
Exorcism of the Syrophoenician woman's daughter,https://en.wikipedia.org/wiki/Exorcism_of_the_Syrophoenician_woman's_daughter,131
Simon the Zealot,https://en.wikipedia.org/wiki/Simon_the_Zealot,132
Parable of the Rich Fool,https://en.wikipedia.org/wiki/Parable_of_the_Rich_Fool,133
Calling of Matthew,https://en.wikipedia.org/wiki/Calling_of_Matthew,134
Parable of the Lost Sheep,https://en.wikipedia.org/wiki/Parable_of_the_Lost_Sheep,135
Kiss of Judas,https://en.wikipedia.org/wiki/Kiss_of_Judas,136
Parable of the Leaven,https://en.wikipedia.org/wiki/Parable_of_the_Leaven,137
Healing the paralytic at Capernaum,https://en.wikipedia.org/wiki/Healing_the_paralytic_at_Capernaum,138
Healing the royal official's son,https://en.wikipedia.org/wiki/Healing_the_royal_official%27s_son,139
Parable of the Hidden Treasure,https://en.wikipedia.org/wiki/Parable_of_the_Hidden_Treasure,140
Parable of the Workers in the Vineyard,https://en.wikipedia.org/wiki/Parable_of_the_Workers_in_the_Vineyard,141
Parable of the Growing Seed,https://en.wikipedia.org/wiki/Parable_of_the_Growing_Seed,142
Jesus healing in the land of Gennesaret,https://en.wikipedia.org/wiki/Jesus_healing_in_the_land_of_Gennesaret,143
Sermon on the Plain,https://en.wikipedia.org/wiki/Sermon_on_the_Plain,144
Last Supper,https://en.wikipedia.org/wiki/Last_Supper,145
Passion of Jesus,https://en.wikipedia.org/wiki/Passion_of_Jesus,146
Herod Antipas,https://en.wikipedia.org/wiki/Herod_Antipas,147
Bargain of Judas,https://en.wikipedia.org/wiki/Bargain_of_Judas,148
Jesus at Herod's court,https://en.wikipedia.org/wiki/Jesus_at_Herod%27s_court,149
Healing the man with a withered hand,https://en.wikipedia.org/wiki/Healing_the_man_with_a_withered_hand,150
Thomas the Apostle,https://en.wikipedia.org/wiki/Thomas_the_Apostle,151
Arrest of Jesus,https://en.wikipedia.org/wiki/Arrest_of_Jesus,152
Messengers from John the Baptist,https://en.wikipedia.org/wiki/Messengers_from_John_the_Baptist,153
New Wine into Old Wineskins,https://en.wikipedia.org/wiki/New_Wine_into_Old_Wineskins,154
Parable of the Faithful Servant,https://en.wikipedia.org/wiki/Parable_of_the_Faithful_Servant,155
Parable of the Great Banquet,https://en.wikipedia.org/wiki/Parable_of_the_Great_Banquet,156
Commissioning of the Twelve Apostles,https://en.wikipedia.org/wiki/Commissioning_of_the_Twelve_Apostles,157
Cleopas,https://en.wikipedia.org/wiki/Cleopas,158
Jesus cleansing a leper,https://en.wikipedia.org/wiki/Jesus_cleansing_a_leper,159
Mary - mother of James,https://en.wikipedia.org/wiki/Mary%2C_mother_of_James,160
Jesus' authority questioned,https://en.wikipedia.org/wiki/Jesus%27_authority_questioned,161
Healing the man blind from birth,https://en.wikipedia.org/wiki/Healing_the_man_blind_from_birth,162
Coin in the fish's mouth,https://en.wikipedia.org/wiki/Coin_in_the_fish%27s_mouth,163
Ministry of Jesus,https://en.wikipedia.org/wiki/Ministry_of_Jesus,164
Teachings of Jesus,https://en.wikipedia.org/wiki/Teachings_of_Jesus,165
Miracles of Jesus,https://en.wikipedia.org/wiki/Miracles_of_Jesus,166
Feeding the multitude,https://en.wikipedia.org/wiki/Feeding_the_multitude,167
Book of Signs,https://en.wikipedia.org/wiki/Book_of_Signs,168
Jesus walking on water,https://en.wikipedia.org/wiki/Jesus_walking_on_water,169
Lord of the Sabbath,https://en.wikipedia.org/wiki/Lord_of_the_Sabbath,170
Calling of the disciples,https://en.wikipedia.org/wiki/Calling_of_the_disciples,171
Historicity of Jesus,https://en.wikipedia.org/wiki/Historicity_of_Jesus,172
Sign of Jonah,https://en.wikipedia.org/wiki/Sign_of_Jonah,173
Counting the cost,https://en.wikipedia.org/wiki/Counting_the_cost,174
Raising of the son of the widow of Nain,https://en.wikipedia.org/wiki/Raising_of_the_son_of_the_widow_of_Nain,175
Young man from Nain,https://en.wikipedia.org/wiki/Young_man_from_Nain,176
Letter of Pilate to Tiberius,https://en.wikipedia.org/wiki/Letter_of_Pilate_to_Tiberius,177
Parables of Jesus,https://en.wikipedia.org/wiki/Parables_of_Jesus,178
Confession of Peter,https://en.wikipedia.org/wiki/Confession_of_Peter,179
Ecce homo,https://en.wikipedia.org/wiki/Ecce_homo,180
The Three Marys,https://en.wikipedia.org/wiki/The_Three_Marys,181
Samaritan woman at the well,https://en.wikipedia.org/wiki/Samaritan_woman_at_the_well,182
Cursing of the fig tree,https://en.wikipedia.org/wiki/Cursing_of_the_fig_tree,183
True Vine,https://en.wikipedia.org/wiki/True_Vine,184
Parable of the Pearl,https://en.wikipedia.org/wiki/Parable_of_the_Pearl,185
Salt and light,https://en.wikipedia.org/wiki/Salt_and_light,186
Parable of the Strong Man,https://en.wikipedia.org/wiki/Parable_of_the_Strong_Man,187
Parable of the Wise and the Foolish Builders,https://en.wikipedia.org/wiki/Parable_of_the_Wise_and_the_Foolish_Builders,188
The Mote and the Beam,https://en.wikipedia.org/wiki/The_Mote_and_the_Beam,189
Mount of Transfiguration,https://en.wikipedia.org/wiki/Mount_of_Transfiguration,190
Pool of Bethesda,https://en.wikipedia.org/wiki/Pool_of_Bethesda,191
Matthias the Apostle,https://en.wikipedia.org/wiki/Matthias_the_Apostle,192
Four Evangelists,https://en.wikipedia.org/wiki/Four_Evangelists,193
Pharisee and the Publican,https://en.wikipedia.org/wiki/Pharisee_and_the_Publican,194
City upon a Hill,https://en.wikipedia.org/wiki/City_upon_a_Hill,195
Good Shepherd,https://en.wikipedia.org/wiki/Good_Shepherd,196
Flight into Egypt,https://en.wikipedia.org/wiki/Flight_into_Egypt,197
Marriage at Cana,https://en.wikipedia.org/wiki/Marriage_at_Cana,198
Road to Emmaus appearance,https://en.wikipedia.org/wiki/Road_to_Emmaus_appearance,199
Restoration of Peter,https://en.wikipedia.org/wiki/Restoration_of_Peter,200
Parable of the Sower,https://en.wikipedia.org/wiki/Parable_of_the_Sower,201
Eye of a needle,https://en.wikipedia.org/wiki/Eye_of_a_needle,202
Lamp under a bushel,https://en.wikipedia.org/wiki/Lamp_under_a_bushel,203
Healing the blind near Jericho,https://en.wikipedia.org/wiki/Healing_the_blind_near_Jericho,204
Parable of the barren fig tree,https://en.wikipedia.org/wiki/Parable_of_the_barren_fig_tree,205
Healing the ear of a servant,https://en.wikipedia.org/wiki/Healing_the_ear_of_a_servant,206
Zebedee,https://en.wikipedia.org/wiki/Zebedee,207
Discourse on Defilement,https://en.wikipedia.org/wiki/Discourse_on_Defilement,208
Malchus,https://en.wikipedia.org/wiki/Malchus,209
The Tree and Its Fruits,https://en.wikipedia.org/wiki/The_Tree_and_Its_Fruits,210
Finding in the Temple,https://en.wikipedia.org/wiki/Finding_in_the_Temple,211
Cleansing ten lepers,https://en.wikipedia.org/wiki/Cleansing_ten_lepers,212
Parable of the Master and Servant,https://en.wikipedia.org/wiki/Parable_of_the_Master_and_Servant,213
Mocking of Jesus,https://en.wikipedia.org/wiki/Mocking_of_Jesus,214
Denial of Peter,https://en.wikipedia.org/wiki/Denial_of_Peter,215
Elizabeth - mother of John the Baptist,https://en.wikipedia.org/wiki/Elizabeth%2C_mother_of_John_the_Baptist,216
Light of the World,https://en.wikipedia.org/wiki/Light_of_the_World,217
Jesus in the synagogue of Capernaum,https://en.wikipedia.org/wiki/Jesus_in_the_synagogue_of_Capernaum,218
James the Less,https://en.wikipedia.org/wiki/James_the_Less,219
Zacchaeus,https://en.wikipedia.org/wiki/Zacchaeus,220
Parable of the Budding Fig Tree,https://en.wikipedia.org/wiki/Parable_of_the_Budding_Fig_Tree,221
Tacitus on Jesus,https://en.wikipedia.org/wiki/Tacitus_on_Jesus,222
Wolf in sheep's clothing,https://en.wikipedia.org/wiki/Wolf_in_sheep%27s_clothing,223
Parable of the Lost Coin,https://en.wikipedia.org/wiki/Parable_of_the_Lost_Coin,224
Healing a man with dropsy,https://en.wikipedia.org/wiki/Healing_a_man_with_dropsy,225
Synoptic Gospels,https://en.wikipedia.org/wiki/Synoptic_Gospels,226
Jesus,https://en.wikipedia.org/wiki/Jesus,227
Beheading of John the Baptist,https://en.wikipedia.org/wiki/Beheading_of_John_the_Baptist,228
Christ's discourse with Nicodemus,https://en.wikipedia.org/wiki/Christ%27s_discourse_with_Nicodemus,229
Great Commandment,https://en.wikipedia.org/wiki/Great_Commandment,230
Mount of Temptation,https://en.wikipedia.org/wiki/Mount_of_Temptation,231
Woes of the Pharisees,https://en.wikipedia.org/wiki/Woes_of_the_Pharisees,232
Parable of the Two Sons,https://en.wikipedia.org/wiki/Parable_of_the_Two_Sons,233
Great Commission,https://en.wikipedia.org/wiki/Great_Commission,234
The Sheep and the Goats,https://en.wikipedia.org/wiki/The_Sheep_and_the_Goats,235
Blind man of Bethsaida,https://en.wikipedia.org/wiki/Blind_man_of_Bethsaida,236
Healing the two blind men in Galilee,https://en.wikipedia.org/wiki/Healing_the_two_blind_men_in_Galilee,237
Gabbatha,https://en.wikipedia.org/wiki/Gabbatha,238
James the Great,https://en.wikipedia.org/wiki/James_the_Great,239
Nathanael (follower of Jesus),https://en.wikipedia.org/wiki/Nathanael_(follower_of_Jesus),240
Gospel of James,https://en.wikipedia.org/wiki/Gospel_of_James,241
Doubting Thomas,https://en.wikipedia.org/wiki/Doubting_Thomas,242
Simon the Leper,https://en.wikipedia.org/wiki/Simon_the_Leper,243
Parable of the Ten Virgins,https://en.wikipedia.org/wiki/Parable_of_the_Ten_Virgins,244
Gospel of Philip,https://en.wikipedia.org/wiki/Gospel_of_Philip,245
Parable of Drawing in the Net,https://en.wikipedia.org/wiki/Parable_of_Drawing_in_the_Net,246
The blind leading the blind,https://en.wikipedia.org/wiki/The_blind_leading_the_blind,247
True Cross,https://en.wikipedia.org/wiki/True_Cross,248
Jesus' true relatives,https://en.wikipedia.org/wiki/Jesus%27_true_relatives,249
Oral gospel traditions,https://en.wikipedia.org/wiki/Oral_gospel_traditions,250
Pilate stone,https://en.wikipedia.org/wiki/Pilate_stone,251
Bartholomew the Apostle,https://en.wikipedia.org/wiki/Bartholomew_the_Apostle,252
Mount of Beatitudes,https://en.wikipedia.org/wiki/Mount_of_Beatitudes,253
Tomb of Jesus,https://en.wikipedia.org/wiki/Tomb_of_Jesus,254
Parable of a scribe,https://en.wikipedia.org/wiki/Parable_of_a_scribe,255
